try,block_size,grid_size,iterations,concentration,setuptime,runtime,teardowntime
0,4,2000,500,1.000000,0.240756,0.027142,0.003936
1,4,2000,500,1.000000,0.022647,0.014789,0.003579
2,4,2000,500,1.000000,0.023510,0.013506,0.003500
0,8,2000,500,1.000000,0.023096,0.013663,0.003385
1,8,2000,500,1.000000,0.023608,0.013616,0.003444
2,8,2000,500,1.000000,0.023384,0.013974,0.003281
0,16,2000,500,1.000000,0.023752,0.013950,0.003447
1,16,2000,500,1.000000,0.023540,0.014271,0.003581
2,16,2000,500,1.000000,0.022993,0.010794,0.002750
0,32,2000,500,1.000000,0.020406,0.010962,0.002258
1,32,2000,500,1.000000,0.021348,0.010359,0.002266
2,32,2000,500,1.000000,0.020336,0.010848,0.002229
0,4,2000,1000,1.000000,0.020687,0.010887,0.002229
1,4,2000,1000,1.000000,0.020850,0.011254,0.002225
2,4,2000,1000,1.000000,0.020706,0.010811,0.002247
0,8,2000,1000,1.000000,0.020395,0.011164,0.002306
1,8,2000,1000,1.000000,0.020564,0.010969,0.002228
2,8,2000,1000,1.000000,0.020435,0.011016,0.002293
0,16,2000,1000,1.000000,0.021111,0.010802,0.002244
1,16,2000,1000,1.000000,0.020495,0.011117,0.002224
2,16,2000,1000,1.000000,0.020616,0.010636,0.002266
0,32,2000,1000,1.000000,0.020519,0.010968,0.002311
1,32,2000,1000,1.000000,0.020783,0.010686,0.002227
2,32,2000,1000,1.000000,0.020925,0.012265,0.002585
0,4,2000,1500,1.000000,0.021979,0.011506,0.002241
1,4,2000,1500,1.000000,0.020545,0.011306,0.002202
2,4,2000,1500,1.000000,0.020551,0.011112,0.002191
0,8,2000,1500,1.000000,0.021116,0.014374,0.003467
1,8,2000,1500,1.000000,0.020809,0.011442,0.002206
2,8,2000,1500,1.000000,0.020652,0.010999,0.002283
0,16,2000,1500,1.000000,0.020482,0.011141,0.002230
1,16,2000,1500,1.000000,0.020492,0.011002,0.002219
2,16,2000,1500,1.000000,0.020466,0.011090,0.002193
0,32,2000,1500,1.000000,0.020721,0.012572,0.002602
1,32,2000,1500,1.000000,0.020652,0.011500,0.002279
2,32,2000,1500,1.000000,0.020563,0.011628,0.002282
0,4,2000,2000,1.000000,0.020562,0.011620,0.002237
1,4,2000,2000,1.000000,0.020973,0.012926,0.002419
2,4,2000,2000,1.000000,0.020547,0.011594,0.002265
0,8,2000,2000,1.000000,0.021177,0.011794,0.002213
1,8,2000,2000,1.000000,0.020941,0.011622,0.002241
2,8,2000,2000,1.000000,0.020813,0.011807,0.002250
0,16,2000,2000,1.000000,0.020494,0.011424,0.002227
1,16,2000,2000,1.000000,0.020420,0.011631,0.002214
2,16,2000,2000,1.000000,0.020685,0.011670,0.002238
0,32,2000,2000,1.000000,0.020578,0.012483,0.002222
1,32,2000,2000,1.000000,0.020477,0.011698,0.002234
2,32,2000,2000,1.000000,0.020487,0.011726,0.002202
0,4,2000,2500,1.000000,0.020464,0.011786,0.002207
1,4,2000,2500,1.000000,0.020383,0.012080,0.002222
2,4,2000,2500,1.000000,0.020910,0.012414,0.002289
0,8,2000,2500,1.000000,0.020677,0.012691,0.002275
1,8,2000,2500,1.000000,0.020563,0.013004,0.002329
2,8,2000,2500,1.000000,0.020673,0.012581,0.002245
0,16,2000,2500,1.000000,0.020701,0.012068,0.002227
1,16,2000,2500,1.000000,0.020484,0.011887,0.002246
2,16,2000,2500,1.000000,0.020539,0.013966,0.003390
0,32,2000,2500,1.000000,0.022296,0.012092,0.002243
1,32,2000,2500,1.000000,0.020487,0.012130,0.002319
2,32,2000,2500,1.000000,0.020688,0.012310,0.002216
0,4,4000,500,1.000000,0.081412,0.044227,0.008294
1,4,4000,500,1.000000,0.083287,0.044351,0.008168
2,4,4000,500,1.000000,0.082884,0.044315,0.008130
0,8,4000,500,1.000000,0.083094,0.045853,0.009151
1,8,4000,500,1.000000,0.083067,0.044371,0.008334
2,8,4000,500,1.000000,0.083448,0.044339,0.008293
0,16,4000,500,1.000000,0.083522,0.049536,0.008849
1,16,4000,500,1.000000,0.082598,0.044779,0.008172
2,16,4000,500,1.000000,0.083747,0.044747,0.008441
0,32,4000,500,1.000000,0.082753,0.044847,0.008518
1,32,4000,500,1.000000,0.083527,0.045237,0.008527
2,32,4000,500,1.000000,0.083897,0.046547,0.008665
0,4,4000,1000,1.000000,0.082719,0.045472,0.008375
1,4,4000,1000,1.000000,0.082599,0.044712,0.008557
2,4,4000,1000,1.000000,0.091138,0.046112,0.008748
0,8,4000,1000,1.000000,0.086487,0.044739,0.008850
1,8,4000,1000,1.000000,0.083466,0.045969,0.008446
2,8,4000,1000,1.000000,0.083001,0.046703,0.008519
0,16,4000,1000,1.000000,0.083540,0.044890,0.008362
1,16,4000,1000,1.000000,0.083509,0.044544,0.008333
2,16,4000,1000,1.000000,0.082877,0.044807,0.008263
0,32,4000,1000,1.000000,0.083868,0.048182,0.008417
1,32,4000,1000,1.000000,0.084164,0.044845,0.008651
2,32,4000,1000,1.000000,0.084159,0.045861,0.008462
0,4,4000,1500,1.000000,0.083053,0.045173,0.008513
1,4,4000,1500,1.000000,0.083335,0.045398,0.008413
2,4,4000,1500,1.000000,0.083081,0.044696,0.008239
0,8,4000,1500,1.000000,0.084602,0.045065,0.008445
1,8,4000,1500,1.000000,0.085589,0.044923,0.013930
2,8,4000,1500,1.000000,0.084478,0.046505,0.008465
0,16,4000,1500,1.000000,0.083665,0.044913,0.008466
1,16,4000,1500,1.000000,0.083099,0.044987,0.008220
