try,thread,grid_size,iterations,concentration,setuptime,runtime,teardowntime
0,2,2000,500,0.216512,0.018091,6.777110,0.000718
1,2,2000,500,0.216512,0.016135,6.829714,0.004715
2,2,2000,500,0.216512,0.013005,6.854826,0.000810
0,2,2000,1000,0.095045,0.016053,13.758986,0.004393
1,2,2000,1000,0.095045,0.013072,13.776253,0.000864
2,2,2000,1000,0.095045,0.016534,13.783332,0.000745
0,2,2000,1500,0.058997,0.016527,20.678020,0.004433
1,2,2000,1500,0.058997,0.014627,20.697418,0.004429
2,2,2000,1500,0.058997,0.013672,20.738293,0.004307
0,2,4000,500,0.216512,0.053018,27.525832,0.026162
1,2,4000,500,0.216512,0.051056,27.546680,0.001674
2,2,4000,500,0.216512,0.057055,27.557479,0.025882
0,2,4000,1000,0.095045,0.051719,55.470498,0.001814
1,2,4000,1000,0.095045,0.056145,55.516235,0.026065
2,2,4000,1000,0.095045,0.052433,55.624031,0.026183
0,2,4000,1500,0.058997,0.052761,83.383899,0.025776
1,2,4000,1500,0.058997,0.052604,83.298351,0.026008
2,2,4000,1500,0.058997,0.051490,83.454738,0.026086
0,2,6000,500,0.216512,0.100590,62.202601,0.057598
1,2,6000,500,0.216512,0.101428,62.364213,0.057278
2,2,6000,500,0.216512,0.101381,62.407703,0.057210
0,2,6000,1000,0.095045,0.101782,125.110759,0.057176
1,2,6000,1000,0.095045,0.100703,125.000268,0.057325
2,2,6000,1000,0.095045,0.101148,125.149925,0.057034
0,2,6000,1500,0.058997,0.101037,190.815039,0.057143
1,2,6000,1500,0.058997,0.101822,187.888874,0.057351
2,2,6000,1500,0.058997,0.101049,188.068777,0.057699
0,4,2000,500,0.216512,0.015585,3.858293,0.005011
1,4,2000,500,0.216512,0.012640,3.874484,0.005206
2,4,2000,500,0.216512,0.012430,3.996738,0.004999
0,4,2000,1000,0.095045,0.013353,8.031825,0.004897
1,4,2000,1000,0.095045,0.013316,8.025809,0.004885
2,4,2000,1000,0.095045,0.013380,8.033157,0.005293
0,4,2000,1500,0.058997,0.013237,12.053374,0.005039
1,4,2000,1500,0.058997,0.013450,12.041336,0.005299
2,4,2000,1500,0.058997,0.013237,12.034979,0.005454
0,4,4000,500,0.216512,0.050256,16.093754,0.028145
1,4,4000,500,0.216512,0.049655,16.057145,0.027823
2,4,4000,500,0.216512,0.049823,16.057797,0.027659
0,4,4000,1000,0.095045,0.049944,32.082557,0.028951
1,4,4000,1000,0.095045,0.049647,32.159718,0.027465
2,4,4000,1000,0.095045,0.049889,31.977661,0.027510
0,4,4000,1500,0.058997,0.049948,47.704118,0.027985
1,4,4000,1500,0.058997,0.049546,47.779707,0.028405
2,4,4000,1500,0.058997,0.049935,47.667162,0.027188
0,4,6000,500,0.216512,0.101458,35.851345,0.059292
1,4,6000,500,0.216512,0.100616,36.155407,0.060535
2,4,6000,500,0.216512,0.100886,36.220412,0.059788
0,4,6000,1000,0.095045,0.100908,72.507326,0.058984
1,4,6000,1000,0.095045,0.101270,72.479610,0.060336
2,4,6000,1000,0.095045,0.101198,72.350101,0.060484
0,4,6000,1500,0.058997,0.100886,109.147804,0.059239
1,4,6000,1500,0.058997,0.101432,109.156412,0.059161
2,4,6000,1500,0.058997,0.102280,109.199539,0.060139
0,6,2000,500,0.216512,0.012347,3.089106,0.005838
1,6,2000,500,0.216512,0.013585,3.096333,0.005981
2,6,2000,500,0.216512,0.013572,3.095475,0.005891
0,6,2000,1000,0.095045,0.013640,6.162080,0.005697
1,6,2000,1000,0.095045,0.013807,6.178755,0.006164
2,6,2000,1000,0.095045,0.013572,6.161285,0.006336
0,6,2000,1500,0.058997,0.013703,9.257627,0.006076
1,6,2000,1500,0.058997,0.013881,9.263835,0.006844
2,6,2000,1500,0.058997,0.013806,9.257669,0.006181
0,6,4000,500,0.216512,0.051573,12.331615,0.030372
1,6,4000,500,0.216512,0.050169,12.325519,0.030994
2,6,4000,500,0.216512,0.049697,12.337661,0.030285
0,6,4000,1000,0.095045,0.049450,24.734900,0.030428
1,6,4000,1000,0.095045,0.050349,24.722400,0.030568
2,6,4000,1000,0.095045,0.049873,24.694012,0.031179
0,6,4000,1500,0.058997,0.049926,37.092472,0.030914
1,6,4000,1500,0.058997,0.049509,37.082439,0.031258
2,6,4000,1500,0.058997,0.049795,36.946669,0.031904
0,6,6000,500,0.216512,0.102234,27.786408,0.063833
1,6,6000,500,0.216512,0.100925,27.818338,0.062359
2,6,6000,500,0.216512,0.101440,27.792734,0.062807
0,6,6000,1000,0.095045,0.101078,55.648204,0.062209
1,6,6000,1000,0.095045,0.101321,55.659760,0.062411
2,6,6000,1000,0.095045,0.101850,55.742886,0.064080
