try,grid_size,iterations,concentration,setuptime,runtime,teardowntime
0,400,200,0.485682,0.002186,0.372069,0.000263
1,400,200,0.485682,0.001985,0.372731,0.000288
2,400,200,0.485682,0.001998,0.372165,0.000282
0,400,400,0.274209,0.001978,0.746474,0.000304
1,400,400,0.274209,0.002054,0.746596,0.000331
2,400,400,0.274209,0.002005,0.759066,0.000304
0,400,600,0.175885,0.002031,1.123916,0.000297
1,400,600,0.175885,0.002005,1.127935,0.000287
2,400,600,0.175885,0.002035,1.126219,0.000308
0,400,800,0.124625,0.002041,1.513450,0.000361
1,400,800,0.124625,0.002003,1.503947,0.000285
2,400,800,0.124625,0.002054,1.505470,0.000308
0,400,1000,0.095045,0.002029,1.878870,0.000308
1,400,1000,0.095045,0.002073,1.877261,0.000299
2,400,1000,0.095045,0.002063,1.877476,0.000286
0,800,200,0.485682,0.008498,1.505305,0.001091
1,800,200,0.485682,0.008349,1.505176,0.001061
2,800,200,0.485682,0.008378,1.505222,0.001077
0,800,400,0.274209,0.008397,3.013312,0.001139
1,800,400,0.274209,0.008568,3.007773,0.001119
2,800,400,0.274209,0.008478,3.006456,0.001084
0,800,600,0.175885,0.008430,4.511753,0.001141
1,800,600,0.175885,0.008542,4.512182,0.001219
2,800,600,0.175885,0.008478,4.511624,0.001183
0,800,800,0.124625,0.008511,6.014170,0.001175
1,800,800,0.124625,0.008586,6.017202,0.001293
2,800,800,0.124625,0.008535,6.016951,0.001157
0,800,1000,0.095045,0.008611,7.519607,0.001310
1,800,1000,0.095045,0.008542,7.522921,0.001179
2,800,1000,0.095045,0.008592,7.520665,0.001201
0,1200,200,0.485682,0.018984,3.380649,0.002391
1,1200,200,0.485682,0.018856,3.383102,0.002467
2,1200,200,0.485682,0.018968,3.381401,0.002420
0,1200,400,0.274209,0.018910,6.766054,0.002485
1,1200,400,0.274209,0.018976,6.764199,0.002364
2,1200,400,0.274209,0.018895,6.766282,0.002511
0,1200,600,0.175885,0.019037,10.149826,0.002388
1,1200,600,0.175885,0.018931,10.150346,0.002457
2,1200,600,0.175885,0.018994,10.153741,0.002529
0,1200,800,0.124625,0.019071,13.515582,0.002514
1,1200,800,0.124625,0.019088,13.523795,0.002494
2,1200,800,0.124625,0.019027,13.550592,0.002620
0,1200,1000,0.095045,0.019059,16.932065,0.002479
1,1200,1000,0.095045,0.018999,16.935586,0.002497
2,1200,1000,0.095045,0.019046,16.936368,0.002524
0,1600,200,0.485682,0.033587,6.035834,0.004012
1,1600,200,0.485682,0.034690,6.057862,0.003997
2,1600,200,0.485682,0.033446,6.061635,0.004135
0,1600,400,0.274209,0.033694,12.101695,0.004131
1,1600,400,0.274209,0.033557,12.093432,0.004178
2,1600,400,0.274209,0.033735,12.054669,0.004194
0,1600,600,0.175885,0.033820,18.567249,0.004415
1,1600,600,0.175885,0.035067,18.739306,0.004434
2,1600,600,0.175885,0.035559,18.487662,0.004178
0,1600,800,0.124625,0.034295,24.235225,0.004225
1,1600,800,0.124625,0.034067,24.005953,0.004467
2,1600,800,0.124625,0.034343,24.193033,0.004582
0,1600,1000,0.095045,0.034305,30.337314,0.004592
1,1600,1000,0.095045,0.035040,30.882839,0.005053
2,1600,1000,0.095045,0.034736,30.233931,0.004763
0,2000,200,0.485682,0.053800,9.422356,0.007219
1,2000,200,0.485682,0.053756,9.416707,0.007136
2,2000,200,0.485682,0.053491,9.409937,0.007204
0,2000,400,0.274209,0.053432,18.812881,0.007270
1,2000,400,0.274209,0.053851,18.819227,0.007166
2,2000,400,0.274209,0.053877,18.750960,0.007159
0,2000,600,0.175885,0.053787,28.183607,0.007230
1,2000,600,0.175885,0.054048,28.278702,0.007229
2,2000,600,0.175885,0.053866,28.250125,0.007246
0,2000,800,0.124625,0.053925,37.691681,0.007244
1,2000,800,0.124625,0.054049,37.698057,0.007217
2,2000,800,0.124625,0.053839,37.501592,0.007471
0,2000,1000,0.095045,0.053827,46.886186,0.007271
1,2000,1000,0.095045,0.053887,46.875061,0.007213
2,2000,1000,0.095045,0.054040,47.018281,0.007240
