try,grid_size,iterations,concentration,setuptime,runtime,teardowntime
0,2000,500,0.216512,0.031952,2.638390,0.005604
1,2000,500,0.216512,0.031265,2.605422,0.005676
2,2000,500,0.216512,0.031231,2.608055,0.005632
0,2000,1000,0.095045,0.032074,5.202960,0.005919
1,2000,1000,0.095045,0.031962,5.205447,0.005801
2,2000,1000,0.095045,0.032268,5.213171,0.005854
0,2000,1500,0.058997,0.031457,7.780915,0.005960
1,2000,1500,0.058997,0.031867,7.802969,0.005988
2,2000,1500,0.058997,0.031752,7.903332,0.006129
0,4000,500,0.216512,0.125773,10.448747,0.022486
1,4000,500,0.216512,0.121466,10.257805,0.022471
2,4000,500,0.216512,0.121320,10.430543,0.022416
0,4000,1000,0.095045,0.120997,20.644052,0.022541
1,4000,1000,0.095045,0.121623,20.530613,0.022690
2,4000,1000,0.095045,0.121293,20.854785,0.022653
0,4000,1500,0.058997,0.121172,30.888509,0.022719
1,4000,1500,0.058997,0.121595,30.849713,0.022774
2,4000,1500,0.058997,0.121821,30.911312,0.022856
0,6000,500,0.216512,0.288544,25.131191,0.051404
1,6000,500,0.216512,0.287459,25.288111,0.051130
2,6000,500,0.216512,0.286173,24.775052,0.051578
0,6000,1000,0.095045,0.285904,49.930463,0.051318
1,6000,1000,0.095045,0.287830,49.473808,0.051149
2,6000,1000,0.095045,0.285781,50.483120,0.051980
0,6000,1500,0.058997,0.285799,74.865240,0.053245
1,6000,1500,0.058997,0.292845,75.045211,0.051536
2,6000,1500,0.058997,0.285024,76.927883,0.053154
