try,grid_size,iterations,concentration,setuptime,runtime,teardowntime
0,2000,500,0.216512,0.055878,15.472830,0.007324
1,2000,500,0.216512,0.055136,15.470079,0.007470
2,2000,500,0.216512,0.055212,15.467841,0.007381
0,2000,1000,0.095045,0.055445,30.923530,0.007358
1,2000,1000,0.095045,0.055066,30.888798,0.007351
2,2000,1000,0.095045,0.055057,30.887998,0.007361
0,2000,1500,0.058997,0.055367,46.360103,0.007626
1,2000,1500,0.058997,0.054972,46.371006,0.007433
2,2000,1500,0.058997,0.055175,46.385726,0.007400
0,4000,500,0.216512,0.217266,61.843940,0.027449
1,4000,500,0.216512,0.218324,61.890475,0.027554
2,4000,500,0.216512,0.218417,61.872618,0.027619
0,4000,1000,0.095045,0.218043,123.814205,0.027562
1,4000,1000,0.095045,0.218307,123.743175,0.027688
2,4000,1000,0.095045,0.217994,123.886990,0.027545
0,4000,1500,0.058997,0.218749,186.450917,0.027698
1,4000,1500,0.058997,0.219070,185.531426,0.027678
2,4000,1500,0.058997,0.217802,186.019049,0.027873
0,6000,500,0.216512,0.483833,139.084325,0.055579
1,6000,500,0.216512,0.481688,139.421458,0.055846
2,6000,500,0.216512,0.480744,139.315422,0.055593
0,6000,1000,0.095045,0.482240,278.568350,0.055715
1,6000,1000,0.095045,0.482380,278.670805,0.055412
2,6000,1000,0.095045,0.481866,280.116117,0.057700
0,6000,1500,0.058997,0.486040,422.644851,0.056105
1,6000,1500,0.058997,0.485538,424.230823,0.056074
2,6000,1500,0.058997,0.484379,426.284644,0.056191
