threads,grid_size,iterations,time,concentration
2,2000,300,6.923319,0.358565
2,2000,600,13.906396,0.175885
2,2000,900,23.237367,0.107992
2,2000,1200,33.122816,0.076432
2,3000,300,17.416817,0.358565
2,3000,600,32.432175,0.175885
2,3000,900,48.484595,0.107992
2,3000,1200,64.891873,0.076432
2,4000,300,28.715381,0.358565
2,4000,600,56.902016,0.175885
2,4000,900,85.363429,0.107992
2,4000,1200,113.951731,0.076432
3,2000,300,5.246088,0.358565
3,2000,600,11.097089,0.175885
3,2000,900,16.028713,0.107992
3,2000,1200,20.902613,0.076432
3,3000,300,11.701708,0.358565
3,3000,600,23.642763,0.175885
3,3000,900,39.288203,0.107992
3,3000,1200,52.407270,0.076432
3,4000,300,24.140248,0.358565
3,4000,600,48.182056,0.175885
3,4000,900,72.529172,0.107992
3,4000,1200,86.056452,0.076432
4,2000,300,4.391867,0.358565
4,2000,600,8.761595,0.175885
4,2000,900,13.300025,0.107992
4,2000,1200,17.591079,0.076432
4,3000,300,9.621829,0.358565
4,3000,600,19.677191,0.175885
4,3000,900,29.213937,0.107992
4,3000,1200,39.009055,0.076432
4,4000,300,17.433884,0.358565
4,4000,600,34.489788,0.175885
4,4000,900,51.853039,0.107992
4,4000,1200,69.062381,0.076432
5,2000,300,3.767703,0.358565
5,2000,600,8.082320,0.175885
5,2000,900,11.315065,0.107992
5,2000,1200,15.119128,0.076432
5,3000,300,8.529237,0.358565
5,3000,600,17.458255,0.175885
5,3000,900,25.452405,0.107992
5,3000,1200,39.503268,0.076432
5,4000,300,16.432027,0.358565
5,4000,600,32.186467,0.175885
5,4000,900,46.319890,0.107992
5,4000,1200,67.480054,0.076432
6,2000,300,4.561268,0.358565
6,2000,600,7.694563,0.175885
6,2000,900,10.396327,0.107992
6,2000,1200,14.342863,0.076432
6,3000,300,7.833099,0.358565
6,3000,600,16.764293,0.175885
6,3000,900,24.515919,0.107992
6,3000,1200,35.510136,0.076432
6,4000,300,15.394483,0.358565
6,4000,600,29.002823,0.175885
6,4000,900,42.761161,0.107992
6,4000,1200,57.690996,0.076432
7,2000,300,4.751323,0.358565
7,2000,600,9.609575,0.175885
7,2000,900,14.591439,0.107992
7,2000,1200,19.557161,0.076432
7,3000,300,10.634383,0.358565
7,3000,600,22.363636,0.175885
7,3000,900,34.130105,0.107992
7,3000,1200,47.775207,0.076432
7,4000,300,21.477926,0.358565
7,4000,600,42.720388,0.175885
7,4000,900,64.980961,0.107992
7,4000,1200,85.426644,0.076432
8,2000,300,4.941769,0.358565
8,2000,600,9.956690,0.175885
8,2000,900,14.910857,0.107992
8,2000,1200,20.313250,0.076432
8,3000,300,10.705701,0.358565
8,3000,600,22.002826,0.175885
8,3000,900,33.987179,0.107992
8,3000,1200,42.728363,0.076432
8,4000,300,18.020976,0.358565
8,4000,600,35.642609,0.175885
8,4000,900,52.912252,0.107992
8,4000,1200,74.204944,0.076432
9,2000,300,4.240328,0.358565
9,2000,600,8.107830,0.175885
9,2000,900,12.145988,0.107992
9,2000,1200,18.441022,0.076432
9,3000,300,11.439128,0.358565
9,3000,600,23.862459,0.175885
9,3000,900,35.924582,0.107992
9,3000,1200,39.542384,0.076432
9,4000,300,18.905578,0.358565
9,4000,600,34.501434,0.175885
9,4000,900,55.681664,0.107992
9,4000,1200,84.229322,0.076432
10,2000,300,3.818608,0.358565
10,2000,600,7.696580,0.175885
10,2000,900,11.304293,0.107992
10,2000,1200,15.270724,0.076432
10,3000,300,8.614406,0.358565
10,3000,600,17.081126,0.175885
10,3000,900,25.630510,0.107992
10,3000,1200,34.033890,0.076432
10,4000,300,15.156705,0.358565
10,4000,600,30.292140,0.175885
10,4000,900,45.544128,0.107992
10,4000,1200,60.007849,0.076432
11,2000,300,3.708744,0.358565
11,2000,600,7.229782,0.175885
11,2000,900,10.966486,0.107992
11,2000,1200,14.454457,0.076432
11,3000,300,8.203161,0.358565
11,3000,600,16.330229,0.175885
11,3000,900,24.579632,0.107992
11,3000,1200,32.730853,0.076432
11,4000,300,14.554845,0.358565
11,4000,600,29.023087,0.175885
11,4000,900,43.667018,0.107992
11,4000,1200,58.279712,0.076432
12,2000,300,3.521893,0.358565
12,2000,600,7.062068,0.175885
12,2000,900,10.857613,0.107992
12,2000,1200,14.235834,0.076432
12,3000,300,8.009475,0.358565
12,3000,600,15.838979,0.175885
12,3000,900,23.963394,0.107992
12,3000,1200,31.983734,0.076432
12,4000,300,14.069760,0.358565
12,4000,600,28.362887,0.175885
12,4000,900,42.800035,0.107992
12,4000,1200,57.351537,0.076432
