try,grid_size,iterations,concentration,setuptime,runtime,teardowntime
0,400,200,0.485682,0.001353,0.026788,0.000443
1,400,200,0.485682,0.002242,0.026662,0.000338
2,400,200,0.485682,0.001163,0.026014,0.000336
0,400,400,0.274209,0.001139,0.052960,0.000300
1,400,400,0.274209,0.001146,0.053192,0.000288
2,400,400,0.274209,0.001136,0.053192,0.000252
0,400,600,0.175885,0.001127,0.081398,0.000342
1,400,600,0.175885,0.001166,0.080807,0.000327
2,400,600,0.175885,0.001160,0.080389,0.000260
0,400,800,0.124625,0.001168,0.108059,0.000297
1,400,800,0.124625,0.001142,0.108042,0.000288
2,400,800,0.124625,0.001164,0.108545,0.000302
0,400,1000,0.095045,0.001138,0.136737,0.000351
1,400,1000,0.095045,0.001145,0.136100,0.000325
2,400,1000,0.095045,0.001176,0.135849,0.000314
0,800,200,0.485682,0.006408,0.545177,0.001454
1,800,200,0.485682,0.006571,0.540210,0.001534
2,800,200,0.485682,0.006527,0.412995,0.001067
0,800,400,0.274209,0.005135,0.652994,0.001086
1,800,400,0.274209,0.005923,0.740847,0.001047
2,800,400,0.274209,0.005475,0.639370,0.001051
0,800,600,0.175885,0.005095,0.956531,0.001240
1,800,600,0.175885,0.005536,0.940692,0.001057
2,800,600,0.175885,0.005193,1.067602,0.001061
0,800,800,0.124625,0.005120,1.363965,0.001046
1,800,800,0.124625,0.005731,1.400729,0.001095
2,800,800,0.124625,0.005457,1.378440,0.001148
0,800,1000,0.095045,0.005237,1.762522,0.001149
1,800,1000,0.095045,0.005249,1.675895,0.001072
2,800,1000,0.095045,0.005104,1.614103,0.001159
0,1200,200,0.485682,0.012218,0.742604,0.002555
1,1200,200,0.485682,0.011733,0.738213,0.002448
2,1200,200,0.485682,0.011617,0.734935,0.002441
0,1200,400,0.274209,0.011669,1.457437,0.002610
1,1200,400,0.274209,0.011919,1.456423,0.002505
2,1200,400,0.274209,0.011595,1.447407,0.002595
0,1200,600,0.175885,0.011862,2.155183,0.002610
1,1200,600,0.175885,0.011827,2.200870,0.002727
2,1200,600,0.175885,0.011856,2.172895,0.002609
0,1200,800,0.124625,0.011846,3.007294,0.002513
1,1200,800,0.124625,0.013008,3.492494,0.002687
2,1200,800,0.124625,0.013766,3.045356,0.002537
0,1200,1000,0.095045,0.011713,3.745061,0.002997
1,1200,1000,0.095045,0.013377,4.041084,0.002791
2,1200,1000,0.095045,0.014029,4.147074,0.003310
0,1600,200,0.485682,0.023923,1.741177,0.004193
1,1600,200,0.485682,0.023220,1.652754,0.004593
2,1600,200,0.485682,0.022334,1.710173,0.005435
0,1600,400,0.274209,0.023034,3.184677,0.004574
1,1600,400,0.274209,0.020593,3.362865,0.004973
2,1600,400,0.274209,0.028064,2.883397,0.004444
0,1600,600,0.175885,0.020956,4.331714,0.004636
1,1600,600,0.175885,0.022301,4.461296,0.005531
2,1600,600,0.175885,0.021708,3.858147,0.004302
0,1600,800,0.124625,0.020439,5.478205,0.004415
1,1600,800,0.124625,0.020841,5.380301,0.004810
2,1600,800,0.124625,0.021146,5.426482,0.004789
0,1600,1000,0.095045,0.021129,6.411247,0.004625
1,1600,1000,0.095045,0.020991,6.460149,0.004738
2,1600,1000,0.095045,0.020688,6.692205,0.006101
0,2000,200,0.485682,0.041218,2.376579,0.007090
1,2000,200,0.485682,0.032280,2.036285,0.007387
2,2000,200,0.485682,0.032460,2.067625,0.007049
0,2000,400,0.274209,0.034000,4.409303,0.007441
1,2000,400,0.274209,0.033619,4.332980,0.007854
2,2000,400,0.274209,0.033127,4.654288,0.007256
0,2000,600,0.175885,0.032522,6.333166,0.007391
1,2000,600,0.175885,0.032786,6.454293,0.007413
2,2000,600,0.175885,0.033143,6.569918,0.007434
0,2000,800,0.124625,0.032269,8.786131,0.007283
1,2000,800,0.124625,0.034141,8.384256,0.008217
2,2000,800,0.124625,0.034697,8.797210,0.007708
0,2000,1000,0.095045,0.036627,11.348691,0.009116
1,2000,1000,0.095045,0.033915,12.988657,0.009011
2,2000,1000,0.095045,0.036175,12.830334,0.008454
